year,state,county,candidate,party,votes,total_county_votes
2000,Minnesota,Meeker,Ralph Nader,green,517,10672
2000,Minnesota,Meeker,Other,NA,233,10672
2000,Minnesota,Mille Lacs,Al Gore,democrat,4376,10253
2000,Minnesota,Mille Lacs,George W. Bush,republican,5223,10253
2000,Minnesota,Mille Lacs,Ralph Nader,green,448,10253
2000,Minnesota,Mille Lacs,Other,NA,206,10253
2000,Minnesota,Morrison,Al Gore,democrat,5274,14677
2000,Minnesota,Morrison,George W. Bush,republican,8197,14677
2000,Minnesota,Morrison,Ralph Nader,green,633,14677
2000,Minnesota,Morrison,Other,NA,573,14677
2000,Minnesota,Mower,Al Gore,democrat,10693,18480
2000,Minnesota,Mower,George W. Bush,republican,6873,18480
2000,Minnesota,Mower,Ralph Nader,green,678,18480
2000,Minnesota,Mower,Other,NA,236,18480
2000,Minnesota,Murray,Al Gore,democrat,2093,4753
2000,Minnesota,Murray,George W. Bush,republican,2407,4753
2000,Minnesota,Murray,Ralph Nader,green,149,4753
2000,Minnesota,Murray,Other,NA,104,4753
2000,Minnesota,Nicollet,Al Gore,democrat,7041,15327
2000,Minnesota,Nicollet,George W. Bush,republican,7221,15327
2000,Minnesota,Nicollet,Ralph Nader,green,842,15327
2000,Minnesota,Nicollet,Other,NA,223,15327
2000,Minnesota,Nobles,Al Gore,democrat,3760,8872
2000,Minnesota,Nobles,George W. Bush,republican,4766,8872
2000,Minnesota,Nobles,Ralph Nader,green,238,8872
2000,Minnesota,Nobles,Other,NA,108,8872
2000,Minnesota,Norman,Al Gore,democrat,1575,3641
2000,Minnesota,Norman,George W. Bush,republican,1808,3641
2000,Minnesota,Norman,Ralph Nader,green,123,3641
2000,Minnesota,Norman,Other,NA,135,3641
2000,Minnesota,Olmsted,Al Gore,democrat,25822,59392
2000,Minnesota,Olmsted,George W. Bush,republican,30641,59392
2000,Minnesota,Olmsted,Ralph Nader,green,2198,59392
2000,Minnesota,Olmsted,Other,NA,731,59392
2000,Minnesota,Otter Tail,Al Gore,democrat,9844,28511
2000,Minnesota,Otter Tail,George W. Bush,republican,16963,28511
2000,Minnesota,Otter Tail,Ralph Nader,green,1120,28511
2000,Minnesota,Otter Tail,Other,NA,584,28511
2000,Minnesota,Pennington,Al Gore,democrat,2458,6320
2000,Minnesota,Pennington,George W. Bush,republican,3380,6320
2000,Minnesota,Pennington,Ralph Nader,green,255,6320
2000,Minnesota,Pennington,Other,NA,227,6320
2000,Minnesota,Pine,Al Gore,democrat,6148,13068
2000,Minnesota,Pine,George W. Bush,republican,5854,13068
2000,Minnesota,Pine,Ralph Nader,green,734,13068
2000,Minnesota,Pine,Other,NA,332,13068
2000,Minnesota,Pipestone,Al Gore,democrat,1970,4894
2000,Minnesota,Pipestone,George W. Bush,republican,2693,4894
2000,Minnesota,Pipestone,Ralph Nader,green,140,4894
2000,Minnesota,Pipestone,Other,NA,91,4894
2000,Minnesota,Polk,Al Gore,democrat,5764,14140
2000,Minnesota,Polk,George W. Bush,republican,7609,14140
2000,Minnesota,Polk,Ralph Nader,green,369,14140
2000,Minnesota,Polk,Other,NA,398,14140
2000,Minnesota,Pope,Al Gore,democrat,2771,5987
2000,Minnesota,Pope,George W. Bush,republican,2808,5987
2000,Minnesota,Pope,Ralph Nader,green,264,5987
2000,Minnesota,Pope,Other,NA,144,5987
2000,Minnesota,Ramsey,Al Gore,democrat,138470,244278
2000,Minnesota,Ramsey,George W. Bush,republican,87669,244278
2000,Minnesota,Ramsey,Ralph Nader,green,15522,244278
2000,Minnesota,Ramsey,Other,NA,2617,244278
2000,Minnesota,Red Lake,Al Gore,democrat,830,2090
2000,Minnesota,Red Lake,George W. Bush,republican,1090,2090
2000,Minnesota,Red Lake,Ralph Nader,green,68,2090
2000,Minnesota,Red Lake,Other,NA,102,2090
2000,Minnesota,Redwood,Al Gore,democrat,2681,7748
2000,Minnesota,Redwood,George W. Bush,republican,4589,7748
2000,Minnesota,Redwood,Ralph Nader,green,314,7748
2000,Minnesota,Redwood,Other,NA,164,7748
2000,Minnesota,Renville,Al Gore,democrat,3533,8122
2000,Minnesota,Renville,George W. Bush,republican,4036,8122
2000,Minnesota,Renville,Ralph Nader,green,355,8122
2000,Minnesota,Renville,Other,NA,198,8122
2000,Minnesota,Rice,Al Gore,democrat,13140,26021
2000,Minnesota,Rice,George W. Bush,republican,10876,26021
2000,Minnesota,Rice,Ralph Nader,green,1639,26021
2000,Minnesota,Rice,Other,NA,366,26021
2000,Minnesota,Rock,Al Gore,democrat,2081,5010
2000,Minnesota,Rock,George W. Bush,republican,2772,5010
2000,Minnesota,Rock,Ralph Nader,green,116,5010
2000,Minnesota,Rock,Other,NA,41,5010
2000,Minnesota,Roseau,Al Gore,democrat,2128,7166
2000,Minnesota,Roseau,George W. Bush,republican,4695,7166
2000,Minnesota,Roseau,Ralph Nader,green,176,7166
2000,Minnesota,Roseau,Other,NA,167,7166
2000,Minnesota,Saint Louis,Al Gore,democrat,64237,107464
2000,Minnesota,Saint Louis,George W. Bush,republican,35420,107464
2000,Minnesota,Saint Louis,Ralph Nader,green,6290,107464
2000,Minnesota,Saint Louis,Other,NA,1517,107464
2000,Minnesota,Scott,Al Gore,democrat,17503,43793
2000,Minnesota,Scott,George W. Bush,republican,23954,43793
2000,Minnesota,Scott,Ralph Nader,green,1829,43793
2000,Minnesota,Scott,Other,NA,507,43793
2000,Minnesota,Sherburne,Al Gore,democrat,12109,30835
2000,Minnesota,Sherburne,George W. Bush,republican,16813,30835
2000,Minnesota,Sherburne,Ralph Nader,green,1501,30835
2000,Minnesota,Sherburne,Other,NA,412,30835
2000,Minnesota,Sibley,Al Gore,democrat,2687,7335
2000,Minnesota,Sibley,George W. Bush,republican,4087,7335
2000,Minnesota,Sibley,Ralph Nader,green,361,7335
2000,Minnesota,Sibley,Other,NA,200,7335
2000,Minnesota,Stearns,Al Gore,democrat,24800,62476
2000,Minnesota,Stearns,George W. Bush,republican,32402,62476
2000,Minnesota,Stearns,Ralph Nader,green,3820,62476
2000,Minnesota,Stearns,Other,NA,1454,62476
2000,Minnesota,Steele,Al Gore,democrat,6900,16066
2000,Minnesota,Steele,George W. Bush,republican,8223,16066
2000,Minnesota,Steele,Ralph Nader,green,697,16066
2000,Minnesota,Steele,Other,NA,246,16066
2000,Minnesota,Stevens,Al Gore,democrat,2434,5752
2000,Minnesota,Stevens,George W. Bush,republican,2831,5752
2000,Minnesota,Stevens,Ralph Nader,green,393,5752
2000,Minnesota,Stevens,Other,NA,94,5752
2000,Minnesota,Swift,Al Gore,democrat,2698,5437
2000,Minnesota,Swift,George W. Bush,republican,2376,5437
2000,Minnesota,Swift,Ralph Nader,green,218,5437
2000,Minnesota,Swift,Other,NA,145,5437
2000,Minnesota,Todd,Al Gore,democrat,4132,11092
2000,Minnesota,Todd,George W. Bush,republican,6031,11092
2000,Minnesota,Todd,Ralph Nader,green,485,11092
2000,Minnesota,Todd,Other,NA,444,11092
2000,Minnesota,Traverse,Al Gore,democrat,884,2106
2000,Minnesota,Traverse,George W. Bush,republican,1074,2106
2000,Minnesota,Traverse,Ralph Nader,green,86,2106
2000,Minnesota,Traverse,Other,NA,62,2106
2000,Minnesota,Wabasha,Al Gore,democrat,4522,10531
2000,Minnesota,Wabasha,George W. Bush,republican,5245,10531
2000,Minnesota,Wabasha,Ralph Nader,green,571,10531
2000,Minnesota,Wabasha,Other,NA,193,10531
2000,Minnesota,Wadena,Al Gore,democrat,2251,6382
2000,Minnesota,Wadena,George W. Bush,republican,3733,6382
2000,Minnesota,Wadena,Ralph Nader,green,253,6382
2000,Minnesota,Wadena,Other,NA,145,6382
2000,Minnesota,Waseca,Al Gore,democrat,3694,8864
2000,Minnesota,Waseca,George W. Bush,republican,4608,8864
2000,Minnesota,Waseca,Ralph Nader,green,398,8864
2000,Minnesota,Waseca,Other,NA,164,8864
2000,Minnesota,Washington,Al Gore,democrat,49637,107009
2000,Minnesota,Washington,George W. Bush,republican,51502,107009
2000,Minnesota,Washington,Ralph Nader,green,4891,107009
2000,Minnesota,Washington,Other,NA,979,107009
2000,Minnesota,Watonwan,Al Gore,democrat,2258,5134
2000,Minnesota,Watonwan,George W. Bush,republican,2562,5134
2000,Minnesota,Watonwan,Ralph Nader,green,212,5134
2000,Minnesota,Watonwan,Other,NA,102,5134
2000,Minnesota,Wilkin,Al Gore,democrat,1046,3305
2000,Minnesota,Wilkin,George W. Bush,republican,2032,3305
2000,Minnesota,Wilkin,Ralph Nader,green,77,3305
2000,Minnesota,Wilkin,Other,NA,150,3305
2000,Minnesota,Winona,Al Gore,democrat,11069,23918
2000,Minnesota,Winona,George W. Bush,republican,10773,23918
2000,Minnesota,Winona,Ralph Nader,green,1750,23918
2000,Minnesota,Winona,Other,NA,326,23918
2000,Minnesota,Wright,Al Gore,democrat,16762,43366
2000,Minnesota,Wright,George W. Bush,republican,23861,43366
2000,Minnesota,Wright,Ralph Nader,green,1977,43366
2000,Minnesota,Wright,Other,NA,766,43366
2000,Minnesota,Yellow Medicine,Al Gore,democrat,2528,5515
2000,Minnesota,Yellow Medicine,George W. Bush,republican,2598,5515
2000,Minnesota,Yellow Medicine,Ralph Nader,green,232,5515
2000,Minnesota,Yellow Medicine,Other,NA,157,5515
2000,Mississippi,Adams,Al Gore,democrat,8065,14879
2000,Mississippi,Adams,George W. Bush,republican,6691,14879
2000,Mississippi,Adams,Ralph Nader,green,89,14879
2000,Mississippi,Adams,Other,NA,34,14879
2000,Mississippi,Alcorn,Al Gore,democrat,5059,12638
2000,Mississippi,Alcorn,George W. Bush,republican,7254,12638
2000,Mississippi,Alcorn,Ralph Nader,green,101,12638
2000,Mississippi,Alcorn,Other,NA,224,12638
2000,Mississippi,Amite,Al Gore,democrat,2673,6408
2000,Mississippi,Amite,George W. Bush,republican,3677,6408
2000,Mississippi,Amite,Ralph Nader,green,28,6408
2000,Mississippi,Amite,Other,NA,30,6408
2000,Mississippi,Attala,Al Gore,democrat,2922,7173
2000,Mississippi,Attala,George W. Bush,republican,4206,7173
2000,Mississippi,Attala,Ralph Nader,green,22,7173
2000,Mississippi,Attala,Other,NA,23,7173
2000,Mississippi,Benton,Al Gore,democrat,1886,3481
2000,Mississippi,Benton,George W. Bush,republican,1561,3481
2000,Mississippi,Benton,Ralph Nader,green,17,3481
2000,Mississippi,Benton,Other,NA,17,3481
2000,Mississippi,Bolivar,Al Gore,democrat,8436,13538
2000,Mississippi,Bolivar,George W. Bush,republican,4847,13538
2000,Mississippi,Bolivar,Ralph Nader,green,64,13538
2000,Mississippi,Bolivar,Other,NA,191,13538
2000,Mississippi,Calhoun,Al Gore,democrat,2251,5758
2000,Mississippi,Calhoun,George W. Bush,republican,3448,5758
2000,Mississippi,Calhoun,Ralph Nader,green,31,5758
2000,Mississippi,Calhoun,Other,NA,28,5758
2000,Mississippi,Carroll,Al Gore,democrat,1726,4924
2000,Mississippi,Carroll,George W. Bush,republican,3165,4924
2000,Mississippi,Carroll,Ralph Nader,green,18,4924
2000,Mississippi,Carroll,Other,NA,15,4924
2000,Mississippi,Chickasaw,Al Gore,democrat,3519,7175
2000,Mississippi,Chickasaw,George W. Bush,republican,3549,7175
2000,Mississippi,Chickasaw,Ralph Nader,green,36,7175
2000,Mississippi,Chickasaw,Other,NA,71,7175
2000,Mississippi,Choctaw,Al Gore,democrat,1278,3719
2000,Mississippi,Choctaw,George W. Bush,republican,2398,3719
2000,Mississippi,Choctaw,Ralph Nader,green,27,3719
2000,Mississippi,Choctaw,Other,NA,16,3719
2000,Mississippi,Claiborne,Al Gore,democrat,3670,4615
2000,Mississippi,Claiborne,George W. Bush,republican,883,4615
2000,Mississippi,Claiborne,Ralph Nader,green,12,4615
2000,Mississippi,Claiborne,Other,NA,50,4615
2000,Mississippi,Clarke,Al Gore,democrat,2368,6919
2000,Mississippi,Clarke,George W. Bush,republican,4503,6919
2000,Mississippi,Clarke,Ralph Nader,green,17,6919
2000,Mississippi,Clarke,Other,NA,31,6919
2000,Mississippi,Clay,Al Gore,democrat,4515,8165
2000,Mississippi,Clay,George W. Bush,republican,3570,8165
2000,Mississippi,Clay,Ralph Nader,green,41,8165
2000,Mississippi,Clay,Other,NA,39,8165
2000,Mississippi,Coahoma,Al Gore,democrat,5662,9553
2000,Mississippi,Coahoma,George W. Bush,republican,3695,9553
2000,Mississippi,Coahoma,Ralph Nader,green,48,9553
2000,Mississippi,Coahoma,Other,NA,148,9553
2000,Mississippi,Copiah,Al Gore,democrat,4845,10587
2000,Mississippi,Copiah,George W. Bush,republican,5643,10587
2000,Mississippi,Copiah,Ralph Nader,green,52,10587
2000,Mississippi,Copiah,Other,NA,47,10587
2000,Mississippi,Covington,Al Gore,democrat,2623,6881
2000,Mississippi,Covington,George W. Bush,republican,4180,6881
2000,Mississippi,Covington,Ralph Nader,green,30,6881
2000,Mississippi,Covington,Other,NA,48,6881
2000,Mississippi,DeSoto,Al Gore,democrat,9586,34936
2000,Mississippi,DeSoto,George W. Bush,republican,24879,34936
2000,Mississippi,DeSoto,Ralph Nader,green,302,34936
2000,Mississippi,DeSoto,Other,NA,169,34936
2000,Mississippi,Forrest,Al Gore,democrat,8500,22251
2000,Mississippi,Forrest,George W. Bush,republican,13281,22251
2000,Mississippi,Forrest,Ralph Nader,green,353,22251
2000,Mississippi,Forrest,Other,NA,117,22251
2000,Mississippi,Franklin,Al Gore,democrat,1486,3953
2000,Mississippi,Franklin,George W. Bush,republican,2427,3953
2000,Mississippi,Franklin,Ralph Nader,green,20,3953
2000,Mississippi,Franklin,Other,NA,20,3953
2000,Mississippi,George,Al Gore,democrat,1977,7284
2000,Mississippi,George,George W. Bush,republican,5143,7284
2000,Mississippi,George,Ralph Nader,green,69,7284
2000,Mississippi,George,Other,NA,95,7284
2000,Mississippi,Greene,Al Gore,democrat,1317,4436
2000,Mississippi,Greene,George W. Bush,republican,3082,4436
2000,Mississippi,Greene,Ralph Nader,green,14,4436
2000,Mississippi,Greene,Other,NA,23,4436
2000,Mississippi,Grenada,Al Gore,democrat,4163,9385
2000,Mississippi,Grenada,George W. Bush,republican,5129,9385
2000,Mississippi,Grenada,Ralph Nader,green,42,9385
2000,Mississippi,Grenada,Other,NA,51,9385
2000,Mississippi,Hancock,Al Gore,democrat,4801,14548
2000,Mississippi,Hancock,George W. Bush,republican,9326,14548
2000,Mississippi,Hancock,Ralph Nader,green,285,14548
2000,Mississippi,Hancock,Other,NA,136,14548
2000,Mississippi,Harrison,Al Gore,democrat,19142,52616
2000,Mississippi,Harrison,George W. Bush,republican,32256,52616
2000,Mississippi,Harrison,Ralph Nader,green,923,52616
2000,Mississippi,Harrison,Other,NA,295,52616
2000,Mississippi,Hinds,Al Gore,democrat,46789,87770
2000,Mississippi,Hinds,George W. Bush,republican,37753,87770
2000,Mississippi,Hinds,Ralph Nader,green,711,87770
2000,Mississippi,Hinds,Other,NA,2517,87770
2000,Mississippi,Holmes,Al Gore,democrat,5447,7422
2000,Mississippi,Holmes,George W. Bush,republican,1937,7422
2000,Mississippi,Holmes,Ralph Nader,green,15,7422
2000,Mississippi,Holmes,Other,NA,23,7422
2000,Mississippi,Humphreys,Al Gore,democrat,2288,3944
2000,Mississippi,Humphreys,George W. Bush,republican,1628,3944
2000,Mississippi,Humphreys,Ralph Nader,green,17,3944
2000,Mississippi,Humphreys,Other,NA,11,3944
2000,Mississippi,Issaquena,Al Gore,democrat,555,941
2000,Mississippi,Issaquena,George W. Bush,republican,366,941
2000,Mississippi,Issaquena,Ralph Nader,green,4,941
2000,Mississippi,Issaquena,Other,NA,16,941
2000,Mississippi,Itawamba,Al Gore,democrat,2994,8564
2000,Mississippi,Itawamba,George W. Bush,republican,5424,8564
2000,Mississippi,Itawamba,Ralph Nader,green,70,8564
2000,Mississippi,Itawamba,Other,NA,76,8564
2000,Mississippi,Jackson,Al Gore,democrat,14193,45107
2000,Mississippi,Jackson,George W. Bush,republican,30068,45107
2000,Mississippi,Jackson,Ralph Nader,green,567,45107
2000,Mississippi,Jackson,Other,NA,279,45107
2000,Mississippi,Jasper,Al Gore,democrat,3104,6447
2000,Mississippi,Jasper,George W. Bush,republican,3294,6447
2000,Mississippi,Jasper,Ralph Nader,green,23,6447
2000,Mississippi,Jasper,Other,NA,26,6447
2000,Mississippi,Jefferson,Al Gore,democrat,2786,3408
2000,Mississippi,Jefferson,George W. Bush,republican,600,3408
2000,Mississippi,Jefferson,Ralph Nader,green,6,3408
2000,Mississippi,Jefferson,Other,NA,16,3408
2000,Mississippi,Jefferson Davis,Al Gore,democrat,2835,5317
2000,Mississippi,Jefferson Davis,George W. Bush,republican,2437,5317
2000,Mississippi,Jefferson Davis,Ralph Nader,green,11,5317
2000,Mississippi,Jefferson Davis,Other,NA,34,5317
2000,Mississippi,Jones,Al Gore,democrat,7713,24340
2000,Mississippi,Jones,George W. Bush,republican,16341,24340
2000,Mississippi,Jones,Ralph Nader,green,150,24340
2000,Mississippi,Jones,Other,NA,136,24340
2000,Mississippi,Kemper,Al Gore,democrat,2311,4261
2000,Mississippi,Kemper,George W. Bush,republican,1915,4261
2000,Mississippi,Kemper,Ralph Nader,green,18,4261
2000,Mississippi,Kemper,Other,NA,17,4261
2000,Mississippi,Lafayette,Al Gore,democrat,5139,12678
2000,Mississippi,Lafayette,George W. Bush,republican,7081,12678
2000,Mississippi,Lafayette,Ralph Nader,green,385,12678
2000,Mississippi,Lafayette,Other,NA,73,12678
2000,Mississippi,Lamar,Al Gore,democrat,3478,16602
2000,Mississippi,Lamar,George W. Bush,republican,12795,16602
2000,Mississippi,Lamar,Ralph Nader,green,212,16602
2000,Mississippi,Lamar,Other,NA,117,16602
2000,Mississippi,Lauderdale,Al Gore,democrat,8412,25970
2000,Mississippi,Lauderdale,George W. Bush,republican,17315,25970
2000,Mississippi,Lauderdale,Ralph Nader,green,160,25970
2000,Mississippi,Lauderdale,Other,NA,83,25970
2000,Mississippi,Lawrence,Al Gore,democrat,2841,6587
2000,Mississippi,Lawrence,George W. Bush,republican,3674,6587
2000,Mississippi,Lawrence,Ralph Nader,green,32,6587
2000,Mississippi,Lawrence,Other,NA,40,6587
2000,Mississippi,Leake,Al Gore,democrat,2793,6952
2000,Mississippi,Leake,George W. Bush,republican,4114,6952
2000,Mississippi,Leake,Ralph Nader,green,20,6952
2000,Mississippi,Leake,Other,NA,25,6952
2000,Mississippi,Lee,Al Gore,democrat,9142,25094
2000,Mississippi,Lee,George W. Bush,republican,15551,25094
2000,Mississippi,Lee,Ralph Nader,green,240,25094
2000,Mississippi,Lee,Other,NA,161,25094
2000,Mississippi,Leflore,Al Gore,democrat,6401,11276
2000,Mississippi,Leflore,George W. Bush,republican,4626,11276
2000,Mississippi,Leflore,Ralph Nader,green,43,11276
2000,Mississippi,Leflore,Other,NA,206,11276
2000,Mississippi,Lincoln,Al Gore,democrat,4358,13000
2000,Mississippi,Lincoln,George W. Bush,republican,8540,13000
2000,Mississippi,Lincoln,Ralph Nader,green,60,13000
2000,Mississippi,Lincoln,Other,NA,42,13000
2000,Mississippi,Lowndes,Al Gore,democrat,7537,19230
2000,Mississippi,Lowndes,George W. Bush,republican,11404,19230
2000,Mississippi,Lowndes,Ralph Nader,green,172,19230
2000,Mississippi,Lowndes,Other,NA,117,19230
2000,Mississippi,Madison,Al Gore,democrat,10416,29859
2000,Mississippi,Madison,George W. Bush,republican,19109,29859
2000,Mississippi,Madison,Ralph Nader,green,219,29859
2000,Mississippi,Madison,Other,NA,115,29859
2000,Mississippi,Marion,Al Gore,democrat,4114,10998
2000,Mississippi,Marion,George W. Bush,republican,6796,10998
2000,Mississippi,Marion,Ralph Nader,green,58,10998
2000,Mississippi,Marion,Other,NA,30,10998
2000,Mississippi,Marshall,Al Gore,democrat,7735,12592
2000,Mississippi,Marshall,George W. Bush,republican,4723,12592
2000,Mississippi,Marshall,Ralph Nader,green,73,12592
2000,Mississippi,Marshall,Other,NA,61,12592
2000,Mississippi,Monroe,Al Gore,democrat,5783,13360
2000,Mississippi,Monroe,George W. Bush,republican,7397,13360
2000,Mississippi,Monroe,Ralph Nader,green,113,13360
2000,Mississippi,Monroe,Other,NA,67,13360
2000,Mississippi,Montgomery,Al Gore,democrat,2187,4849
2000,Mississippi,Montgomery,George W. Bush,republican,2630,4849
2000,Mississippi,Montgomery,Ralph Nader,green,15,4849
2000,Mississippi,Montgomery,Other,NA,17,4849
2000,Mississippi,Neshoba,Al Gore,democrat,2563,9066
2000,Mississippi,Neshoba,George W. Bush,republican,6409,9066
2000,Mississippi,Neshoba,Ralph Nader,green,53,9066
2000,Mississippi,Neshoba,Other,NA,41,9066
2000,Mississippi,Newton,Al Gore,democrat,2147,7738
2000,Mississippi,Newton,George W. Bush,republican,5540,7738
2000,Mississippi,Newton,Ralph Nader,green,28,7738
2000,Mississippi,Newton,Other,NA,23,7738
2000,Mississippi,Noxubee,Al Gore,democrat,3383,4954
2000,Mississippi,Noxubee,George W. Bush,republican,1530,4954
2000,Mississippi,Noxubee,Ralph Nader,green,15,4954
2000,Mississippi,Noxubee,Other,NA,26,4954
2000,Mississippi,Oktibbeha,Al Gore,democrat,6443,14804
2000,Mississippi,Oktibbeha,George W. Bush,republican,7959,14804
2000,Mississippi,Oktibbeha,Ralph Nader,green,255,14804
2000,Mississippi,Oktibbeha,Other,NA,147,14804
2000,Mississippi,Panola,Al Gore,democrat,5880,11389
2000,Mississippi,Panola,George W. Bush,republican,5424,11389
