year,state,county,candidate,party,votes,total_county_votes
2000,Alabama,Sumter,Ralph Nader,green,20,6088
2000,Alabama,Sumter,Other,NA,24,6088
2000,Alabama,Talladega,Al Gore,democrat,11264,25451
2000,Alabama,Talladega,George W. Bush,republican,13807,25451
2000,Alabama,Talladega,Ralph Nader,green,184,25451
2000,Alabama,Talladega,Other,NA,196,25451
2000,Alabama,Tallapoosa,Al Gore,democrat,6183,16253
2000,Alabama,Tallapoosa,George W. Bush,republican,9805,16253
2000,Alabama,Tallapoosa,Ralph Nader,green,153,16253
2000,Alabama,Tallapoosa,Other,NA,112,16253
2000,Alabama,Tuscaloosa,Al Gore,democrat,24614,60114
2000,Alabama,Tuscaloosa,George W. Bush,republican,34003,60114
2000,Alabama,Tuscaloosa,Ralph Nader,green,1007,60114
2000,Alabama,Tuscaloosa,Other,NA,490,60114
2000,Alabama,Walker,Al Gore,democrat,11621,25641
2000,Alabama,Walker,George W. Bush,republican,13486,25641
2000,Alabama,Walker,Ralph Nader,green,264,25641
2000,Alabama,Walker,Other,NA,270,25641
2000,Alabama,Washington,Al Gore,democrat,3386,7596
2000,Alabama,Washington,George W. Bush,republican,4117,7596
2000,Alabama,Washington,Ralph Nader,green,26,7596
2000,Alabama,Washington,Other,NA,67,7596
2000,Alabama,Wilcox,Al Gore,democrat,3444,5126
2000,Alabama,Wilcox,George W. Bush,republican,1661,5126
2000,Alabama,Wilcox,Ralph Nader,green,6,5126
2000,Alabama,Wilcox,Other,NA,15,5126
2000,Alabama,Winston,Al Gore,democrat,2692,9318
2000,Alabama,Winston,George W. Bush,republican,6413,9318
2000,Alabama,Winston,Ralph Nader,green,88,9318
2000,Alabama,Winston,Other,NA,125,9318
2000,Arizona,Apache,Al Gore,democrat,13025,19456
2000,Arizona,Apache,George W. Bush,republican,5947,19456
2000,Arizona,Apache,Ralph Nader,green,245,19456
2000,Arizona,Apache,Other,NA,239,19456
2000,Arizona,Cochise,Al Gore,democrat,13360,33241
2000,Arizona,Cochise,George W. Bush,republican,18180,33241
2000,Arizona,Cochise,Ralph Nader,green,1113,33241
2000,Arizona,Cochise,Other,NA,588,33241
2000,Arizona,Coconino,Al Gore,democrat,20280,40883
2000,Arizona,Coconino,George W. Bush,republican,17562,40883
2000,Arizona,Coconino,Ralph Nader,green,2478,40883
2000,Arizona,Coconino,Other,NA,563,40883
2000,Arizona,Gila,Al Gore,democrat,7700,17736
2000,Arizona,Gila,George W. Bush,republican,9158,17736
2000,Arizona,Gila,Ralph Nader,green,497,17736
2000,Arizona,Gila,Other,NA,381,17736
2000,Arizona,Graham,Al Gore,democrat,3355,9664
2000,Arizona,Graham,George W. Bush,republican,6007,9664
2000,Arizona,Graham,Ralph Nader,green,144,9664
2000,Arizona,Graham,Other,NA,158,9664
2000,Arizona,Greenlee,Al Gore,democrat,1216,2960
2000,Arizona,Greenlee,George W. Bush,republican,1619,2960
2000,Arizona,Greenlee,Ralph Nader,green,68,2960
2000,Arizona,Greenlee,Other,NA,57,2960
2000,Arizona,La Paz,Al Gore,democrat,1769,4483
2000,Arizona,La Paz,George W. Bush,republican,2543,4483
2000,Arizona,La Paz,Ralph Nader,green,91,4483
2000,Arizona,La Paz,Other,NA,80,4483
2000,Arizona,Maricopa,Al Gore,democrat,386683,901699
2000,Arizona,Maricopa,George W. Bush,republican,479967,901699
2000,Arizona,Maricopa,Ralph Nader,green,22465,901699
2000,Arizona,Maricopa,Other,NA,12584,901699
2000,Arizona,Mohave,Al Gore,democrat,17470,44141
2000,Arizona,Mohave,George W. Bush,republican,24386,44141
2000,Arizona,Mohave,Ralph Nader,green,1323,44141
2000,Arizona,Mohave,Other,NA,962,44141
2000,Arizona,Navajo,Al Gore,democrat,11794,25147
2000,Arizona,Navajo,George W. Bush,republican,12386,25147
2000,Arizona,Navajo,Ralph Nader,green,517,25147
